id,price,minimum_nights,calculated_host_listings_count,latitude,longitude,last_review_days_ago,reviews_per_month,is_superhost_proxy,avail_rate,room_type_enc,neighbourhood_enc,is_unsold
68398,1098.0,30,3,25.0287746,121.55468591047,184,0.09,1,0.7095890410958904,0,8,0
271733,1200.0,14,1,25.00581,121.55518,95,0.46,0,0.13424657534246576,0,9,0
272314,1220.0,90,1,25.04224,121.54265,4018,0.05,0,0.9808219178082191,0,8,1
289296,2622.0,30,2,25.04287,121.55112,617,0.22,0,0.4986301369863014,0,8,0
289298,2195.0,30,2,25.08091,121.55902,414,1.25,0,0.873972602739726,0,0,1
333362,1719.0,3,1,25.07893,121.55061,111,0.68,0,0.8931506849315068,0,0,0
646629,2220.0,2,1,25.01708136358273,121.53232686857233,98,1.83,0,0.27123287671232876,0,8,0
718493,1509.0,35,26,25.0692,121.58582,185,0.59,1,0.6246575342465753,0,3,0
761561,1537.0,5,1,25.02463,121.52318,155,0.28,0,0.36164383561643837,0,1,0
869581,3061.0,364,2,25.12665,121.53418,2126,0.23,0,0.9972602739726028,0,6,1
963051,1422.0,3,4,25.03648,121.5581,1067,0.03,1,0.6602739726027397,2,2,0
983054,510.0,31,2,25.03723,121.61464,1965,0.36,0,0.9972602739726028,2,5,1
1015037,1402.0,30,3,25.041624884945406,121.54974724342638,673,0.07,1,0.8794520547945206,0,8,1
1037747,1156.0,365,2,25.13702,121.50899,2122,0.61,0,0.9945205479452055,0,4,1
1072856,2709.0,1,7,25.05152,121.56966,1097,0.25,1,0.3232876712328767,1,10,0
1072857,3123.0,1,7,25.05159,121.56966,212,0.43,1,0.3589041095890411,1,10,0
1094125,4700.0,20,4,25.04175,121.55308,180,0.75,1,0.2,0,8,0
1097851,3018.0,2,1,25.04173,121.56663,107,2.1,0,0.9123287671232877,0,2,0
1120179,2090.0,21,4,25.04184,121.553,254,0.83,1,0.1780821917808219,0,8,0
1126278,2066.0,35,2,25.05713,121.55946,4374,0.01,0,0.9945205479452055,2,10,1
1259320,4222.0,28,1,25.03397,121.55313,142,1.4,0,0.3643835616438356,0,8,0
1297987,2321.0,7,1,25.04727,121.51671,142,1.33,0,0.6547945205479452,0,1,0
1599241,4750.0,1,2,25.11179,121.52735,9999,0.0,0,0.9972602739726028,2,6,1
1618365,1586.0,1,5,25.13384,121.50158,606,0.04,1,0.8821917808219178,2,4,1
1631691,1465.0,1,6,25.06117,121.54287,109,0.68,1,0.8931506849315068,0,0,0
1664910,1760.0,1,1,25.02692,121.51984,121,0.89,0,0.8273972602739726,0,1,0
1671130,1281.0,28,3,25.0454,121.51649,135,2.81,1,0.8191780821917808,0,1,0
1689077,1465.0,1,6,25.05978,121.54351,95,0.77,1,0.8767123287671232,0,0,0
1701140,1310.0,3,22,25.05258,121.52132,262,2.23,1,0.410958904109589,0,0,0
1718240,2572.0,1,3,25.0265,121.55221,121,1.23,1,0.5287671232876713,0,8,0
1804621,3374.0,3,1,25.044078826904297,121.5509033203125,168,0.59,0,0.7397260273972602,0,8,0
1805413,1444.0,1,6,25.05946,121.54363,93,0.67,1,0.9068493150684932,0,0,0
1808483,1170.0,2,4,25.03641,121.55653,93,1.09,1,0.8383561643835616,0,8,0
1828204,1444.0,1,6,25.06033,121.54288,714,0.57,1,0.9123287671232877,0,0,1
1828230,1465.0,1,6,25.05969,121.543,131,0.19,1,0.9095890410958904,0,0,0
1838528,1363.0,2,2,25.08967,121.52408,214,0.62,0,0.0,2,6,0
1849010,500.0,30,4,25.03389,121.52627,3904,0.03,1,1.0,2,8,1
1884880,1423.0,1,6,25.06024,121.54315,142,0.24,1,0.9095890410958904,0,0,1
1911361,702.0,30,2,25.03161,121.55981,2193,3.05,0,0.9808219178082191,2,2,1
1933639,1970.0,3,17,25.05867,121.53409,155,2.72,1,0.16712328767123288,1,0,0
1938837,1732.0,7,3,25.10667,121.52732,114,1.02,1,0.4575342465753425,0,6,0
1980573,2200.0,5,5,25.032166792826644,121.55338573471856,241,0.75,1,0.5698630136986301,0,8,0
2075962,1098.0,30,3,25.0287746,121.55468591047,708,0.11,1,0.473972602739726,0,8,0
2084454,823.0,30,3,25.04477,121.54371,915,0.02,1,0.9972602739726028,2,8,1
2114695,823.0,28,3,25.03594,121.57846,4335,0.01,1,1.0,2,2,1
2365294,2010.0,10,1,25.02408,121.52896,2189,0.22,0,0.0,2,8,0
2498582,650.0,30,4,25.03297,121.5282,3288,0.15,1,0.8712328767123287,2,8,1
2498747,500.0,30,4,25.0339,121.5265,3741,0.04,1,0.7287671232876712,2,8,1
