month,review_count
2011-12,1
2012-01,2
2012-02,1
2012-03,3
2012-04,3
2012-05,1
2012-06,2
2012-07,1
2012-08,2
2012-09,5
2012-10,5
2012-11,5
2012-12,5
2013-01,4
2013-02,8
2013-03,7
2013-04,13
2013-05,11
2013-06,11
2013-07,8
2013-08,14
2013-09,19
2013-10,28
2013-11,44
2013-12,40
2014-01,41
2014-02,40
2014-03,45
2014-04,70
2014-05,41
2014-06,58
2014-07,48
2014-08,52
2014-09,76
2014-10,128
2014-11,116
2014-12,142
2015-01,142
2015-02,179
2015-03,159
2015-04,211
2015-05,252
2015-06,269
2015-07,235
2015-08,248
2015-09,250
2015-10,363
2015-11,294
2015-12,425
2016-01,418
2016-02,461
2016-03,340
2016-04,480
2016-05,578
2016-06,534
2016-07,522
2016-08,589
2016-09,523
2016-10,701
2016-11,686
2016-12,899
2017-01,888
2017-02,781
2017-03,786
2017-04,928
2017-05,912
2017-06,927
2017-07,955
2017-08,1113
2017-09,934
2017-10,1247
2017-11,1026
2017-12,1266
2018-01,1308
2018-02,1184
2018-03,1290
2018-04,1421
2018-05,1372
2018-06,1384
2018-07,1374
2018-08,1516
2018-09,1259
2018-10,1631
2018-11,1485
2018-12,1755
2019-01,1870
2019-02,1698
2019-03,1898
2019-04,1946
2019-05,1996
2019-06,1997
2019-07,1883
2019-08,2083
2019-09,1696
2019-10,2049
2019-11,1982
2019-12,2296
2020-01,2104
2020-02,1191
2020-03,588
2020-04,253
2020-05,260
2020-06,308
2020-07,294
2020-08,383
2020-09,365
2020-10,456
2020-11,470
2020-12,636
2021-01,488
2021-02,469
2021-03,477
2021-04,468
2021-05,316
2021-06,157
2021-07,220
2021-08,351
2021-09,389
2021-10,475
2021-11,389
2021-12,553
2022-01,427
2022-02,359
2022-03,308
2022-04,344
2022-05,324
2022-06,313
2022-07,352
2022-08,432
2022-09,426
2022-10,560
2022-11,659
2022-12,1081
2023-01,1295
2023-02,1331
2023-03,1881
2023-04,2201
2023-05,2436
2023-06,2425
2023-07,2521
2023-08,2832
2023-09,2769
2023-10,3620
2023-11,3885
2023-12,4345
2024-01,3963
2024-02,3326
2024-03,4722
2024-04,4594
2024-05,4059
2024-06,3835
2024-07,3598
2024-08,4063
2024-09,3691
2024-10,4790
2024-11,5145
2024-12,6189
2025-01,4778
2025-02,4554
2025-03,5798
2025-04,5485
2025-05,5740
2025-06,5193
2025-07,4988
2025-08,5809
2025-09,3788
